perfil,cenario,algoritmo,cobertura_%,ganho_vs_aleatorio_pp
C_rede_prioritaria,100x100_escasso,SSA,34.2,7.5
C_rede_prioritaria,100x100_escasso,CS,33.8,7.1
C_rede_prioritaria,100x100_suficiente,PSO,67.6,21.4
C_rede_prioritaria,100x100_suficiente,GWO,66.6,20.4
C_rede_prioritaria,100x100_suficiente,WOA,64.2,18.0
C_rede_prioritaria,100x100_suficiente,SSA,60.2,14.0
C_rede_prioritaria,100x100_suficiente,CS,59.5,13.3
C_rede_prioritaria,100x100_redundante,PSO,86.4,25.7
C_rede_prioritaria,100x100_redundante,GWO,87.2,26.5
C_rede_prioritaria,100x100_redundante,WOA,84.5,23.8
C_rede_prioritaria,100x100_redundante,SSA,76.0,15.3
C_rede_prioritaria,100x100_redundante,CS,76.2,15.5
C_rede_prioritaria,250x250_escasso,PSO,35.9,8.6
C_rede_prioritaria,250x250_escasso,GWO,35.8,8.5
C_rede_prioritaria,250x250_escasso,WOA,35.3,8.0
C_rede_prioritaria,250x250_escasso,SSA,35.3,8.0
C_rede_prioritaria,250x250_escasso,CS,34.9,7.6
C_rede_prioritaria,250x250_suficiente,PSO,63.6,20.5
C_rede_prioritaria,250x250_suficiente,GWO,62.4,19.3
C_rede_prioritaria,250x250_suficiente,WOA,60.4,17.3
C_rede_prioritaria,250x250_suficiente,SSA,57.7,14.6
C_rede_prioritaria,250x250_suficiente,CS,56.8,13.7
C_rede_prioritaria,250x250_redundante,PSO,85.5,26.7
C_rede_prioritaria,250x250_redundante,GWO,85.5,26.7
C_rede_prioritaria,250x250_redundante,WOA,82.9,24.1
C_rede_prioritaria,250x250_redundante,SSA,76.0,17.2
C_rede_prioritaria,250x250_redundante,CS,74.3,15.5
C_rede_prioritaria,500x500_escasso,PSO,34.9,8.2
C_rede_prioritaria,500x500_escasso,GWO,34.6,7.9
C_rede_prioritaria,500x500_escasso,WOA,34.1,7.4
C_rede_prioritaria,500x500_escasso,SSA,34.2,7.5
C_rede_prioritaria,500x500_escasso,CS,33.8,7.1
C_rede_prioritaria,500x500_suficiente,PSO,67.6,21.4
C_rede_prioritaria,500x500_suficiente,GWO,66.6,20.4
C_rede_prioritaria,500x500_suficiente,WOA,64.2,18.0
C_rede_prioritaria,500x500_suficiente,SSA,60.2,14.0
C_rede_prioritaria,500x500_suficiente,CS,59.5,13.3
C_rede_prioritaria,500x500_redundante,PSO,86.4,25.7
C_rede_prioritaria,500x500_redundante,GWO,87.2,26.5
C_rede_prioritaria,500x500_redundante,WOA,84.5,23.8
C_rede_prioritaria,500x500_redundante,SSA,76.0,15.3
C_rede_prioritaria,500x500_redundante,CS,76.2,15.5
