perfil,cenario,run,Aleatório_custo,Aleatório_cobertura,Aleatório_overlaps,Aleatório_conectividade,PSO_custo,PSO_cobertura,PSO_overlaps,PSO_conectividade,GWO_custo,GWO_cobertura,GWO_overlaps,GWO_conectividade,WOA_custo,WOA_cobertura,WOA_overlaps,WOA_conectividade,SSA_custo,SSA_cobertura,SSA_overlaps,SSA_conectividade,CS_custo,CS_cobertura,CS_overlaps,CS_conectividade
B_transicao,100x100_escasso,20,0.5625507088863678,0.2614,1,0.4,0.3249681403783943,0.3501,0,1.0,0.3259484364278012,0.3481,0,1.0,0.34280952847760027,0.3144,0,1.0,0.3314937667041939,0.3373,1,1.0,0.3294862791313327,0.345,1,1.0
B_transicao,100x100_suficiente,1,0.34650213269132824,0.4585,11,0.8,0.16169137045416343,0.6801,5,1.0,0.16280744076049838,0.6771,6,1.0,0.17690433475715786,0.6476,6,1.0,0.21836280602374772,0.5781,10,1.0,0.2084416282719724,0.5903,7,1.0
B_transicao,100x100_suficiente,2,0.34193655798213934,0.3714,16,1.0,0.16186539979935183,0.6796,8,1.0,0.16630309772876434,0.6678,2,1.0,0.19972104736027843,0.6032,8,1.0,0.22126177896176746,0.5775,11,1.0,0.21224221921394457,0.5871,7,1.0
B_transicao,100x100_suficiente,3,0.29282610852040586,0.5015,10,0.9,0.1591977398419044,0.6837,7,1.0,0.21524709749414778,0.5826,7,1.0,0.17609615618087976,0.6485,4,1.0,0.1963681137638724,0.6131,6,1.0,0.21524709749414778,0.5826,7,1.0
B_transicao,100x100_suficiente,4,0.29452238305842116,0.4528,14,1.0,0.1575456584871414,0.686,8,1.0,0.15946579883827974,0.683,7,1.0,0.18326633719007715,0.6356,5,1.0,0.19732343286156934,0.6192,7,1.0,0.2114896623080751,0.5859,6,1.0
B_transicao,100x100_suficiente,5,0.5118231271680589,0.4138,7,0.3,0.15565306998041953,0.6901,9,1.0,0.1605645034396825,0.6819,5,1.0,0.1826009429074593,0.6359,4,1.0,0.18904988257272018,0.6343,11,1.0,0.21428046918857185,0.583,8,1.0
B_transicao,100x100_suficiente,6,0.28175692088829885,0.473,10,1.0,0.1571647609997204,0.6875,9,1.0,0.1807638199732735,0.6405,4,1.0,0.17292109965125124,0.6547,3,1.0,0.20729299656344632,0.5931,6,1.0,0.19975608498717454,0.6109,7,1.0
B_transicao,100x100_suficiente,7,0.2616142620533795,0.5013,10,1.0,0.1591853523700338,0.6841,7,1.0,0.1586583058046951,0.6841,6,1.0,0.16321974962455663,0.6747,6,1.0,0.20483239114938145,0.6038,11,1.0,0.20707203606326463,0.5983,10,1.0
B_transicao,100x100_suficiente,8,0.3861339060700998,0.4851,6,0.6,0.15769014566746647,0.6866,7,1.0,0.15881347903018922,0.6851,8,1.0,0.1691020098908115,0.6653,9,1.0,0.20219566804229178,0.6089,8,1.0,0.21316545521933933,0.5892,9,1.0
B_transicao,100x100_suficiente,9,0.3280374525800515,0.443,12,0.9,0.1645512088139812,0.6732,6,1.0,0.16544694576506302,0.671,7,1.0,0.18856656856762033,0.624,5,1.0,0.18508802402817887,0.6393,7,1.0,0.21038063793535872,0.591,9,1.0
B_transicao,100x100_suficiente,10,0.40816940259941914,0.503,6,0.5,0.15946529445623445,0.6824,7,1.0,0.15964000871540807,0.6824,7,1.0,0.1710600498317395,0.6582,2,1.0,0.22565663554359872,0.5694,10,1.0,0.2153358545323859,0.5816,6,1.0
B_transicao,100x100_suficiente,11,0.2995220184836678,0.5335,6,0.8,0.15828685990391064,0.6854,4,1.0,0.16061976551939017,0.6795,4,1.0,0.1714909857241365,0.6575,3,1.0,0.1925468306535924,0.6222,9,1.0,0.2190637534837858,0.579,9,1.0
B_transicao,100x100_suficiente,12,0.36093084574369266,0.4766,7,0.7,0.1591357451813789,0.6836,7,1.0,0.16098519074169185,0.68,3,1.0,0.17888557262820073,0.6445,6,1.0,0.20506862954961774,0.6061,9,1.0,0.20529332599545702,0.6074,9,1.0
B_transicao,100x100_suficiente,13,0.4240106008662246,0.4209,12,0.6,0.15964043941787856,0.6837,9,1.0,0.1591246803231594,0.6833,5,1.0,0.18218725082992743,0.6381,6,1.0,0.21592678338850485,0.5884,12,1.0,0.19096840359807774,0.6268,8,1.0
B_transicao,100x100_suficiente,14,0.3327973047567475,0.475,8,0.8,0.1577639148168571,0.6862,10,1.0,0.16914823443064933,0.6625,4,1.0,0.16019091738155944,0.6804,4,1.0,0.20223871633965304,0.6041,9,1.0,0.20959403269899807,0.596,12,1.0
B_transicao,100x100_suficiente,15,0.3814611735167473,0.447,12,0.7,0.15982312492555883,0.6811,6,1.0,0.1671757884001489,0.6668,6,1.0,0.16632220479090282,0.6711,7,1.0,0.19707752223451191,0.6213,10,1.0,0.21167640210853825,0.5936,10,1.0
B_transicao,100x100_suficiente,16,0.4391957163070556,0.4086,14,0.6,0.15564513915009145,0.6898,4,1.0,0.17589413991704023,0.6545,8,1.0,0.17373664930807084,0.6542,4,1.0,0.20392636790434968,0.6084,9,1.0,0.20355645654157303,0.604,6,1.0
B_transicao,100x100_suficiente,17,0.360466763382028,0.3906,13,0.9,0.1563373810171829,0.6893,5,1.0,0.17967042311743964,0.6416,5,1.0,0.182845560129277,0.6378,6,1.0,0.2035358278154801,0.6069,11,1.0,0.21732535039760467,0.5801,9,1.0
B_transicao,100x100_suficiente,18,0.27541248760141496,0.5249,7,0.9,0.17094452546085248,0.6588,4,1.0,0.17347944595458326,0.6534,4,1.0,0.1805318338162146,0.6404,2,1.0,0.21924696893046328,0.5797,12,1.0,0.20973993254687398,0.5885,7,1.0
B_transicao,100x100_suficiente,19,0.4182996797879148,0.4878,6,0.5,0.16364160206750045,0.6758,5,1.0,0.17487844988187765,0.6503,1,1.0,0.17234816502053765,0.6566,5,1.0,0.19578988284804852,0.6214,10,1.0,0.2071374588446682,0.6001,8,1.0
B_transicao,100x100_suficiente,20,0.3695037344105503,0.4755,11,0.7,0.17056507208213068,0.6599,4,1.0,0.1753385861027481,0.6506,3,1.0,0.1912688344012648,0.6182,4,1.0,0.1840548442867015,0.6405,9,1.0,0.2168673042197102,0.58,9,1.0
B_transicao,100x100_redundante,1,0.22742586327790457,0.6138,23,0.9333,0.07041423849120187,0.8682,23,1.0,0.054062588243058644,0.9017,23,1.0,0.07901050394837335,0.8511,19,1.0,0.13197513735419544,0.7546,20,1.0,0.1340283450591832,0.7501,21,1.0
B_transicao,100x100_redundante,2,0.32978531849676884,0.4656,30,0.8667,0.0591621659365142,0.8908,23,1.0,0.05292217339954818,0.9038,23,1.0,0.09306097003936233,0.8207,19,1.0,0.1286686684611524,0.7652,25,1.0,0.1212085768164772,0.7745,20,1.0
B_transicao,100x100_redundante,3,0.23311040615376863,0.5738,31,1.0,0.06456793343534234,0.8777,24,1.0,0.060418710550381546,0.8904,21,1.0,0.08254498554766783,0.8428,17,1.0,0.11635761080740081,0.7839,18,1.0,0.1355409170401133,0.7446,17,1.0
B_transicao,100x100_redundante,4,0.19909984558129987,0.6334,29,1.0,0.07268070640215916,0.8618,21,1.0,0.06698757729983339,0.8769,23,1.0,0.06924440070160601,0.8683,20,1.0,0.1158129487375985,0.7849,20,1.0,0.13605331768614337,0.7432,17,1.0
B_transicao,100x100_redundante,5,0.2915643997280707,0.6342,15,0.6667,0.06886490098505449,0.8666,20,1.0,0.0664023473431592,0.8795,24,1.0,0.08034340954300265,0.8473,18,1.0,0.1197818728164851,0.7791,21,1.0,0.13035389996212965,0.7546,19,1.0
B_transicao,100x100_redundante,6,0.24537897015216126,0.5524,25,1.0,0.0728094097374579,0.8599,19,1.0,0.08615194855060096,0.839,17,1.0,0.10117866436094122,0.8081,17,1.0,0.1314375071355336,0.7556,22,1.0,0.12814746195024304,0.7559,14,1.0
B_transicao,100x100_redundante,7,0.17390321232835274,0.6741,21,1.0,0.05355173518152136,0.9017,23,1.0,0.05546475754469633,0.898,24,1.0,0.0797550552614987,0.8494,22,1.0,0.13965791134589992,0.7424,23,1.0,0.14088935181153334,0.7322,14,1.0
B_transicao,100x100_redundante,8,0.28007460915159577,0.6236,17,0.7333,0.06958617365522965,0.8671,22,1.0,0.06868038207307721,0.8736,22,1.0,0.08940171322505445,0.8296,16,1.0,0.13696638642124018,0.7426,20,1.0,0.11996272550824352,0.7733,16,1.0
B_transicao,100x100_redundante,9,0.30521403625527327,0.5795,21,0.7333,0.05691337735600223,0.8923,26,1.0,0.12647385438749661,0.7615,18,1.0,0.06192479753501753,0.8844,20,1.0,0.14511113710622406,0.7337,23,1.0,0.1191933993260268,0.7768,22,1.0
B_transicao,100x100_redundante,10,0.27045329866503054,0.6771,14,0.6667,0.06661508900612369,0.8753,23,1.0,0.052084429334250115,0.9072,24,1.0,0.09303951893093604,0.8204,15,1.0,0.12939617885805255,0.756,16,1.0,0.11608911304147058,0.7838,20,1.0
B_transicao,100x100_redundante,11,0.16940302715374883,0.6849,24,1.0,0.056242914272870204,0.8937,25,1.0,0.06327608928606611,0.8825,23,1.0,0.09212504369362165,0.8256,21,1.0,0.14632788295112759,0.7263,20,1.0,0.12430549579085388,0.7648,18,1.0
B_transicao,100x100_redundante,12,0.22880955950365275,0.6092,18,0.9333,0.05541314744144307,0.8966,25,1.0,0.06526811719228076,0.8798,20,1.0,0.06431416254853385,0.8809,21,1.0,0.11258278296674869,0.7926,24,1.0,0.13133595360581837,0.755,16,1.0
B_transicao,100x100_redundante,13,0.3531598751723931,0.5688,25,0.6,0.06680467642742983,0.8725,21,1.0,0.08086466466323573,0.8487,17,1.0,0.08478822990143964,0.8378,18,1.0,0.1173099281298377,0.7802,17,1.0,0.11425638343418462,0.7891,20,1.0
B_transicao,100x100_redundante,14,0.26726015290806926,0.6065,18,0.8,0.05622819379776126,0.8952,25,1.0,0.060004077515052975,0.8865,23,1.0,0.08621651830722409,0.8403,25,1.0,0.1426487851175442,0.7375,26,1.0,0.11218512241318036,0.7912,18,1.0
B_transicao,100x100_redundante,15,0.2126269945050809,0.6071,27,1.0,0.0652881319975513,0.8764,20,1.0,0.06295685055808656,0.8835,22,1.0,0.06308094364427838,0.8825,24,1.0,0.1369462440249905,0.7452,23,1.0,0.11462338796141422,0.7855,19,1.0
B_transicao,100x100_redundante,16,0.38541916379040114,0.5475,31,0.5333,0.06966224288963571,0.8689,23,1.0,0.04960200357024602,0.9096,25,1.0,0.07755989921503462,0.8545,20,1.0,0.1406830561079057,0.736,20,1.0,0.12740205960816373,0.763,17,1.0
B_transicao,100x100_redundante,17,0.2783612542617438,0.5586,22,0.8667,0.06471174102244172,0.8767,19,1.0,0.0667715932394031,0.8752,24,1.0,0.08345113481255427,0.842,18,1.0,0.12102007440139677,0.7734,20,1.0,0.13017063890316502,0.7548,18,1.0
B_transicao,100x100_redundante,18,0.1637876575983829,0.6923,19,1.0,0.08149037158442696,0.8442,23,1.0,0.07304850190523067,0.8646,22,1.0,0.08744648572564381,0.8327,17,1.0,0.12738709531132755,0.768,23,1.0,0.13577429194008778,0.7468,16,1.0
B_transicao,100x100_redundante,19,0.1894762873178323,0.6479,19,1.0,0.053664214810490565,0.897,25,1.0,0.05445422881651261,0.9002,22,1.0,0.08026622048410213,0.8461,17,1.0,0.12798280637254592,0.7612,21,1.0,0.11923893751278632,0.7741,19,1.0
B_transicao,100x100_redundante,20,0.28139028227061696,0.5961,30,0.8,0.060648105870670696,0.8835,24,1.0,0.09121977716990462,0.8291,17,1.0,0.0813317497969396,0.8466,18,1.0,0.13077753999690014,0.7593,27,1.0,0.11977290354372545,0.7787,21,1.0
B_transicao,250x250_escasso,1,0.4679496970768819,0.2549,5,0.8,0.3207042076089695,0.3586,0,1.0,0.320830183925422,0.3583,0,1.0,0.32073570168808263,0.3585,0,1.0,0.3281102000380515,0.3505,2,1.0,0.32144397345967535,0.3576,1,1.0
B_transicao,250x250_escasso,2,0.3904680355662606,0.2649,5,1.0,0.32073570168808263,0.3585,0,1.0,0.320830183925422,0.3583,0,1.0,0.32086167800453513,0.3583,0,1.0,0.3224993701184177,0.355,0,1.0,0.32439509486975543,0.3542,2,1.0
B_transicao,250x250_escasso,3,0.38593741553547933,0.2722,4,1.0,0.320578231292517,0.3588,0,1.0,0.3208931720836483,0.3582,0,1.0,0.32086167800453513,0.3583,0,1.0,0.32078862155411897,0.3585,1,1.0,0.32591072556597095,0.3536,3,1.0
B_transicao,250x250_escasso,4,0.41245258960783504,0.31,2,0.8,0.3206727135298564,0.3587,0,1.0,0.3207986898463089,0.3584,0,1.0,0.32098765432098764,0.358,0,1.0,0.3223085069712572,0.3571,1,1.0,0.32240488788107835,0.3552,0,1.0
B_transicao,250x250_escasso,5,0.5680627096747674,0.2418,1,0.4,0.320578231292517,0.3588,0,1.0,0.3250664452252897,0.3542,1,1.0,0.32086167800453513,0.3583,0,1.0,0.3219165223208281,0.3576,2,1.0,0.33103396884750574,0.3399,2,1.0
B_transicao,250x250_escasso,6,0.432906194382479,0.2891,2,0.8,0.320830183925422,0.3583,0,1.0,0.32086167800453513,0.3583,0,1.0,0.33821491559586797,0.3236,0,1.0,0.3208931720836483,0.3582,0,1.0,0.3312562206819334,0.3437,3,1.0
B_transicao,250x250_escasso,7,0.35081593434712416,0.3118,3,1.0,0.3206727135298564,0.3587,0,1.0,0.320830183925422,0.3583,0,1.0,0.32095616024187457,0.3581,0,1.0,0.3246972835543726,0.3549,1,1.0,0.3329666476795624,0.3425,1,1.0
B_transicao,250x250_escasso,8,0.47132748458492957,0.3004,1,0.6,0.3204522549760645,0.3591,0,1.0,0.32086167800453513,0.3583,0,1.0,0.3207042076089695,0.3586,0,1.0,0.3255878626321802,0.3505,2,1.0,0.3365940124078347,0.3382,1,1.0
B_transicao,250x250_escasso,9,0.5016571374368,0.261,1,0.6,0.3206097253716301,0.3588,0,1.0,0.3209246661627614,0.3582,0,1.0,0.32076719576719576,0.3585,0,1.0,0.3342177488215201,0.333,2,1.0,0.33372103217547266,0.3467,5,1.0
B_transicao,250x250_escasso,10,0.41693895057497077,0.2303,4,1.0,0.3205467372134039,0.3589,0,1.0,0.32086167800453513,0.3583,0,1.0,0.3208931720836483,0.3582,0,1.0,0.3207986898463089,0.3584,0,1.0,0.32331370302097956,0.3559,2,1.0
