perfil,cenario,Aleatório_media_custo,Aleatório_dp,Aleatório_mse,Aleatório_cobertura_media,Aleatório_overlaps_medio,Aleatório_conectividade_media,PSO_media_custo,PSO_dp,PSO_mse,PSO_cobertura_media,PSO_overlaps_medio,PSO_conectividade_media,GWO_media_custo,GWO_dp,GWO_mse,GWO_cobertura_media,GWO_overlaps_medio,GWO_conectividade_media,WOA_media_custo,WOA_dp,WOA_mse,WOA_cobertura_media,WOA_overlaps_medio,WOA_conectividade_media,SSA_media_custo,SSA_dp,SSA_mse,SSA_cobertura_media,SSA_overlaps_medio,SSA_conectividade_media,CS_media_custo,CS_dp,CS_mse,CS_cobertura_media,CS_overlaps_medio,CS_conectividade_media
C_rede_prioritaria,100x100_escasso,0.3788,0.1061,0.045085,26.7,2.2,71.0,0.1952,0.0002,0.0,34.9,0.0,100.0,0.1962,0.0019,5e-06,34.6,0.0,100.0,0.1976,0.004,2.3e-05,34.1,0.0,100.0,0.198,0.0028,1.7e-05,34.2,0.8,100.0,0.2,0.0028,3.4e-05,33.8,1.3,100.0
C_rede_prioritaria,100x100_suficiente,0.2962,0.0964,0.050431,46.2,9.9,76.0,0.0981,0.0038,3.8e-05,67.6,6.2,100.0,0.1014,0.0079,0.000128,66.6,5.3,100.0,0.1082,0.0047,0.000241,64.2,5.0,100.0,0.1261,0.0082,0.001136,60.2,9.0,100.0,0.1272,0.0053,0.001169,59.5,7.8,100.0
C_rede_prioritaria,100x100_redundante,0.2044,0.0817,0.036689,60.7,23.0,85.7,0.0438,0.005,0.000184,86.4,20.6,100.0,0.0432,0.011,0.000266,87.2,22.0,100.0,0.0507,0.0059,0.000417,84.5,18.8,100.0,0.0811,0.0075,0.002552,76.0,20.8,100.0,0.0794,0.0057,0.002353,76.2,18.0,100.0
C_rede_prioritaria,250x250_escasso,0.3773,0.106,0.045514,27.3,2.4,71.0,0.1923,0.0001,0.0,35.9,0.0,100.0,0.1927,0.0006,1e-06,35.8,0.1,100.0,0.1941,0.0037,1.8e-05,35.3,0.0,100.0,0.1949,0.0028,1.5e-05,35.3,1.0,100.0,0.1974,0.003,3.6e-05,34.9,1.4,100.0
C_rede_prioritaria,250x250_suficiente,0.3086,0.0991,0.050698,43.1,8.3,75.6,0.1096,0.0033,2.1e-05,63.6,3.0,100.0,0.1139,0.0087,0.000131,62.4,2.8,100.0,0.1192,0.0076,0.00022,60.4,2.5,100.0,0.1318,0.0063,0.000685,57.7,6.8,100.0,0.1345,0.0057,0.000822,56.8,6.4,100.0
C_rede_prioritaria,250x250_redundante,0.2247,0.0972,0.044415,58.8,20.2,82.9,0.0466,0.0061,0.000117,85.5,19.0,100.0,0.0483,0.0111,0.000236,85.5,19.2,100.0,0.0552,0.0055,0.000337,82.9,17.0,100.0,0.081,0.0068,0.001922,76.0,18.6,100.0,0.0849,0.0064,0.002273,74.3,16.2,100.0
C_rede_prioritaria,500x500_escasso,0.3788,0.1061,0.045085,26.7,2.2,71.0,0.1952,0.0002,0.0,34.9,0.0,100.0,0.1962,0.0019,5e-06,34.6,0.0,100.0,0.1976,0.004,2.3e-05,34.1,0.0,100.0,0.198,0.0028,1.7e-05,34.2,0.8,100.0,0.2,0.0028,3.4e-05,33.8,1.3,100.0
C_rede_prioritaria,500x500_suficiente,0.2962,0.0964,0.050431,46.2,9.9,76.0,0.0981,0.0038,3.8e-05,67.6,6.2,100.0,0.1014,0.0079,0.000128,66.6,5.3,100.0,0.1082,0.0047,0.000241,64.2,5.0,100.0,0.1261,0.0082,0.001136,60.2,9.0,100.0,0.1272,0.0053,0.001169,59.5,7.8,100.0
C_rede_prioritaria,500x500_redundante,0.2044,0.0817,0.036689,60.7,23.0,85.7,0.0438,0.005,0.000184,86.4,20.6,100.0,0.0432,0.011,0.000266,87.2,22.0,100.0,0.0507,0.0059,0.000417,84.5,18.8,100.0,0.0811,0.0075,0.002552,76.0,20.8,100.0,0.0794,0.0057,0.002353,76.2,18.0,100.0
