perfil,cenario,Aleatório_media_custo,Aleatório_dp,Aleatório_mse,Aleatório_cobertura_media,Aleatório_overlaps_medio,Aleatório_conectividade_media,PSO_media_custo,PSO_dp,PSO_mse,PSO_cobertura_media,PSO_overlaps_medio,PSO_conectividade_media,GWO_media_custo,GWO_dp,GWO_mse,GWO_cobertura_media,GWO_overlaps_medio,GWO_conectividade_media,WOA_media_custo,WOA_dp,WOA_mse,WOA_cobertura_media,WOA_overlaps_medio,WOA_conectividade_media,SSA_media_custo,SSA_dp,SSA_mse,SSA_cobertura_media,SSA_overlaps_medio,SSA_conectividade_media,CS_media_custo,CS_dp,CS_mse,CS_cobertura_media,CS_overlaps_medio,CS_conectividade_media
A_cobertura_prioritaria,100x100_escasso,0.556,0.0333,0.01129,26.7,2.2,71.0,0.4555,0.0002,0.0,34.9,0.0,100.0,0.4566,0.0005,2e-06,34.8,0.1,100.0,0.4588,0.0071,6.4e-05,34.5,0.2,100.0,0.4601,0.0042,4.3e-05,34.4,1.2,100.0,0.4643,0.0045,0.000105,34.0,1.8,100.0
A_cobertura_prioritaria,100x100_suficiente,0.4153,0.0393,0.041414,46.2,9.9,76.0,0.2266,0.0085,0.000192,67.8,6.2,100.0,0.2467,0.0247,0.001572,65.1,6.2,100.0,0.24,0.0088,0.00067,65.9,6.4,100.0,0.2813,0.0131,0.004489,60.8,9.1,100.0,0.2909,0.0124,0.005823,59.4,7.8,100.0
A_cobertura_prioritaria,100x100_redundante,0.3042,0.0472,0.058503,60.7,23.0,85.7,0.0881,0.0128,0.000613,87.9,21.8,100.0,0.1032,0.0419,0.003065,86.1,22.2,100.0,0.1119,0.0145,0.002228,84.6,18.6,100.0,0.1786,0.016,0.01273,75.9,22.2,100.0,0.1748,0.0126,0.011786,76.2,18.4,100.0
A_cobertura_prioritaria,250x250_escasso,0.552,0.0339,0.011869,27.3,2.4,71.0,0.4487,0.0002,0.0,35.9,0.0,100.0,0.4499,0.002,6e-06,35.7,0.2,100.0,0.4516,0.0073,6.3e-05,35.5,0.0,100.0,0.4531,0.0046,4.3e-05,35.5,1.2,100.0,0.4584,0.0046,0.000121,34.9,1.8,100.0
A_cobertura_prioritaria,250x250_suficiente,0.4383,0.0373,0.037595,43.1,8.3,75.6,0.254,0.0068,8.2e-05,63.8,3.6,100.0,0.2624,0.0166,0.000485,62.6,1.8,100.0,0.2731,0.0119,0.000771,61.1,3.4,100.0,0.3039,0.0137,0.00331,57.5,6.5,99.4,0.3068,0.0075,0.003521,57.0,5.4,99.4
A_cobertura_prioritaria,250x250_redundante,0.3208,0.0451,0.060365,58.8,20.2,82.9,0.0962,0.0119,0.000427,86.8,20.8,100.0,0.0982,0.0076,0.000416,86.6,19.4,100.0,0.1193,0.0094,0.001691,83.5,18.0,100.0,0.1777,0.0179,0.010012,75.9,19.2,100.0,0.187,0.01,0.011708,74.4,16.2,100.0
A_cobertura_prioritaria,500x500_escasso,0.556,0.0333,0.01129,26.7,2.2,71.0,0.4555,0.0002,0.0,34.9,0.0,100.0,0.4566,0.0005,2e-06,34.8,0.1,100.0,0.4588,0.0071,6.4e-05,34.5,0.2,100.0,0.4601,0.0042,4.3e-05,34.4,1.2,100.0,0.4643,0.0045,0.000105,34.0,1.8,100.0
A_cobertura_prioritaria,500x500_suficiente,0.4153,0.0393,0.041414,46.2,9.9,76.0,0.2266,0.0085,0.000192,67.8,6.2,100.0,0.2467,0.0247,0.001572,65.1,6.2,100.0,0.24,0.0088,0.00067,65.9,6.4,100.0,0.2813,0.0131,0.004489,60.8,9.1,100.0,0.2909,0.0124,0.005823,59.4,7.8,100.0
A_cobertura_prioritaria,500x500_redundante,0.3042,0.0472,0.058503,60.7,23.0,85.7,0.0881,0.0128,0.000613,87.9,21.8,100.0,0.1032,0.0419,0.003065,86.1,22.2,100.0,0.1119,0.0145,0.002228,84.6,18.6,100.0,0.1786,0.016,0.01273,75.9,22.2,100.0,0.1748,0.0126,0.011786,76.2,18.4,100.0
